name,description,PCS/SET/DOZ,PRICE PER,,PRICE,PRICE ,UNIT,,,price,,,isHidden,shopId,categoryId
Apple Tub - Big (Colour),( 1 * 12 pcs ),12,"  56,949 ","  10,251 ","  67,200 ","  5,600 ",PC,  0.15 ,"  10,080 ","77,280.00","  10,080 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Apple Tub - small (Colour),( 1 * 20 pcs ),20,"  45,763 ","  8,237 ","  54,000 ","  2,700 ",PC,  0.15 ,"  8,100 ","62,100.00","  8,100 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Apple Tub - medium(Colour),( 1 * 12 pcs ),12,"  49,322 ","  8,878 ","  58,200 ","  4,850 ",PC,  0.15 ,"  8,730 ","66,930.00","  8,730 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin - Meli (Colour),( 1 * 48 pcs ),48,"  53,695 ","  9,665 ","  63,360 ","  1,320 ",PC,  0.15 ,"  9,504 ","72,864.00","  9,504 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin - Meli (D/Colour),( 1 * 48 pcs ),48,"  81,356 ","  14,644 ","  96,000 ","  2,000 ",PC,  0.15 ,"  14,400 ","110,400.00","  14,400 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 13 with Lid,( 1 * 24 pcs ),24,"  53,898 ","  9,702 ","  63,600 ","  2,650 ",PC,  0.15 ,"  9,540 ","73,140.00","  9,540 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 14,( 1 * 48 pcs ),48,"  52,881 ","  9,519 ","  62,400 ","  1,300 ",PC,  0.15 ,"  9,360 ","71,760.00","  9,360 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 18 with Lid,( 1 * 24 pcs ),24,"  61,017 ","  10,983 ","  72,000 ","  3,000 ",PC,  0.15 ,"  10,800 ","82,800.00","  10,800 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 28 (Colour),( 1 * 60 pcs ),60,"  32,034 ","  5,766 ","  37,800 ",  630 ,PC,  0.15 ,"  5,670 ","43,470.00","  5,670 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 32 (Colour),( 1 * 60 pcs ),60,"  50,339 ","  9,061 ","  59,400 ",  990 ,PC,  0.15 ,"  8,910 ","68,310.00","  8,910 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 42 (Colour),( 1 * 50 pcs ),50,"  69,068 ","  12,432 ","  81,500 ","  1,630 ",PC,  0.15 ,"  12,225 ","93,725.00","  12,225 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 42 (D/Colour),( 1 * 50 pcs ),50,"  97,458 ","  17,542 ","  115,000 ","  2,300 ",PC,  0.15 ,"  17,250 ","132,250.00","  17,250 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 45 (Colour),( 1 * 50 pcs ),50,"  84,746 ","  15,254 ","  100,000 ","  2,000 ",PC,  0.15 ,"  15,000 ","115,000.00","  15,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 45 (D/Colour),( 1 * 50 pcs ),50,"  118,644 ","  21,356 ","  140,000 ","  2,800 ",PC,  0.15 ,"  21,000 ","161,000.00","  21,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Matunda Basin 45 (D/Colour),( 1 * 36 pcs ),36,"  75,508 ","  13,592 ","  89,100 ","  2,475 ",PC,  0.15 ,"  13,365 ","102,465.00","  13,365 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Matunda Basin 35 (D/Colour),( 1 * 48 pcs ),48,"  52,881 ","  9,519 ","  62,400 ","  1,300 ",PC,  0.15 ,"  9,360 ","71,760.00","  9,360 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 50 (Colour),( 1 * 50 pcs ),50,"  110,169 ","  19,831 ","  130,000 ","  2,600 ",PC,  0.15 ,"  19,500 ","149,500.00","  19,500 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin 786 - Round (Colour),( 1 * 72 pcs ),72,"  127,525 ","  22,955 ","  150,480 ","  2,090 ",PC,  0.15 ,"  22,572 ","173,052.00","  22,572 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
